,POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS)
94,Dealer,0,1,2,BHK,1193.44,1,1,"Talegaon,Pune",74.65,18.44,60.4
95,Owner,0,0,2,BHK,1487.36,1,1,"Mansarovar Extension,Jaipur",75.76,26.86,30.0
96,Owner,1,1,2,BHK,989.9,0,1,"Sector-143 Noida,Noida",77.43,28.5,50.0
97,Dealer,0,0,2,BHK,1155.02,1,1,"Bhandup (West),Maharashtra",72.93,19.15,140.0
98,Owner,0,0,2,BHK,949.89,1,1,"Eswaran Koil Street,Pondicherry",79.83,11.93,80.0
99,Owner,0,0,2,BHK,875.0,1,1,"Sector-78 Noida,Noida",77.39,28.56,49.0
100,Dealer,0,0,2,BHK,853.36,1,1,"Ananth Nagar,Bangalore",77.6,12.97,24.5
101,Owner,0,0,1,BHK,483.09,1,1,"Roha,Raigad",73.11,18.45,18.0
102,Dealer,0,0,2,BHK,800.0,1,1,"Thane West,Maharashtra",72.96,19.18,95.0
103,Owner,0,0,2,BHK,802.04,1,1,"Ankur Vihar,Ghaziabad",77.42,28.67,22.0
104,Dealer,0,1,2,BHK,610.07,1,1,"Koyambedu,Chennai",80.2,13.07,48.0
105,Owner,0,0,3,BHK,1680.11,1,1,"Naveen Nagar,Kanpur",78.76,28.86,75.0
106,Owner,0,0,2,BHK,1150.14,1,1,"Nirman Nagar,Jaipur",79.3,19.98,93.0
107,Owner,0,0,3,BHK,1550.11,1,1,"Sector-75 Noida,Noida",77.38,28.58,88.0
108,Owner,0,0,5,BHK,1699.83,1,1,"Sahibabad,Ghaziabad",77.37,28.67,82.0
109,Owner,1,0,3,BHK,1600.17,0,1,"Tripunithura,Kochi",76.36,9.95,75.0
110,Owner,0,0,1,BHK,600.06,1,1,"Pen,Raigad",73.08,18.75,21.2
111,Dealer,0,1,2,BHK,1429.2,1,1,"Sector-66A Mohali,Mohali",76.75,30.66,64.9
112,Owner,0,0,2,BHK,1115.14,1,1,"Dodda Banaswadi,Bangalore",77.65,13.01,80.0
113,Owner,0,0,3,BHK,1811.2,1,1,"Kanke,Ranchi",85.33,23.36,99.0
114,Owner,0,0,2,BHK,1045.04,1,1,"Narendrapur,Kolkata",88.4,22.44,42.0
115,Owner,0,0,3,BHK,1298.22,1,1,"Electronics City Phase 1,Bangalore",77.66,12.84,70.0
116,Owner,1,1,2,BHK,1109.17,0,1,"Katapady,Udupi",74.75,13.28,38.0
117,Dealer,1,1,4,BHK,1304.03,0,0,"Kanchpada,Maharashtra",72.82,18.96,470.0
118,Dealer,0,1,2,BHK,1041.2,1,1,"Sector-70 Noida,Noida",77.38,28.6,46.0
119,Dealer,0,0,3,BHK,2135.75,1,1,"Sector 82 Faridabad,Faridabad",77.36,28.39,83.7
120,Owner,0,1,3,BHK,1850.18,1,1,"Noida Extension,Noida",77.43,28.58,82.0
121,Dealer,0,0,3,BHK,1665.08,1,1,"Kudasan,Gandhinagar",72.63,23.17,70.0
122,Owner,0,1,2,BHK,398.26,1,1,"Purseni,Lucknow",80.98,26.71,11.0
123,Owner,0,0,2,BHK,1005.03,1,1,"Chandapura,Bangalore",77.71,12.8,48.0
124,Dealer,0,1,2,BHK,1294.02,1,1,"4 Bunglows,Mumbai",72.83,19.13,330.0
125,Dealer,0,1,3,BHK,1536.81,1,1,"Sector-3 Vaishali,Ghaziabad",77.34,28.64,100.0
126,Owner,0,0,2,BHK,1123.19,1,1,"Kaggadasapura,Bangalore",77.67,12.98,62.0
127,Dealer,0,0,2,BHK,800.19,1,1,"Jhotwara,Jaipur",75.73,26.96,16.5
128,Dealer,0,0,3,BHK,1513.78,1,1,"JP Nagar,Bangalore",77.58,12.91,100.0
129,Owner,0,0,3,BHK,1280.0,1,1,"Ponekkara,Kochi",76.27,9.93,48.0
130,Owner,0,0,1,BHK,410.07,1,1,"Sector-18 Vrindavan Colony,Lucknow",77.32,28.57,14.5
131,Dealer,0,0,2,BHK,890.05,1,1,"Sector-25 Khandeshhwar,Mumbai",77.34,28.58,65.0
132,Owner,0,0,2,BHK,977.71,1,1,"Bicholi Mardana,Indore",75.82,22.18,25.0
133,Dealer,0,0,2,BHK,1099.86,1,1,"Syndicate Bank Colony,Bangalore",77.58,12.98,38.0
134,Owner,1,0,2,BHK,1050.24,0,1,"Paota,Jodhpur",73.04,26.3,37.0
135,Dealer,0,1,3,BHK,1400.24,1,1,"Raj Nagar Extension,Ghaziabad",75.78,26.9,57.9
136,Dealer,0,0,3,BHK,1740.14,1,1,"Sector 19 Kharghar,Mumbai",73.08,19.05,180.0
137,Dealer,0,1,2,BHK,1149.13,1,1,"Marol,Lalitpur",78.42,24.69,180.0
138,Dealer,0,0,2,BHK,650.2,1,1,"Vadavalli,Coimbatore",76.9,11.03,20.0
139,Owner,0,0,2,BHK,1355.01,1,1,"Gopalpura Bypass,Jaipur",75.78,26.88,85.0
140,Dealer,0,0,3,BHK,1800.07,1,1,"Rasanna Colony,Bangalore",77.6,12.97,150.0
141,Dealer,0,1,2,BHK,907.63,1,1,"Taloja,Maharashtra",74.21,21.56,33.9
142,Dealer,0,0,3,BHK,1636.3,1,1,"Budigere,Bangalore",77.75,13.14,88.0
143,Owner,0,0,2,BHK,900.25,1,1,"Tarsali,Vadodara",73.22,22.26,25.0
144,Owner,0,0,2,BHK,1318.04,1,1,"Doddakannelli,Bangalore",77.69,12.91,100.0
145,Dealer,0,1,3,BHK,1949.59,1,1,"Sector-88 Mohali,Mohali",76.69,30.68,99.0
146,Dealer,0,0,3,BHK,1643.37,1,1,"Kakkanad,Kochi",76.27,9.93,67.0
147,Dealer,0,0,3,BHK,1233.05,1,1,"Kanjur Marg (East),Maharashtra",72.82,18.96,210.0
148,Dealer,0,0,1,BHK,655.08,1,1,"Sector 20 Ulwe,Maharashtra",73.02,18.96,49.0
149,Owner,0,0,2,BHK,1180.17,1,1,"Ferrar Nagar,Bangalore",77.6,12.97,75.0
150,Owner,0,0,3,BHK,1200.09,1,1,"Sahibabad,Ghaziabad",77.37,28.67,55.0
151,Owner,0,0,2,BHK,850.1,1,1,"Ajmer Road,Jaipur",75.83,26.93,30.0
152,Owner,0,0,2,BHK,900.02,1,1,"Roopena Agrahara,Bangalore",77.59,12.93,55.0
153,Dealer,1,0,4,BHK,2472.95,0,1,"NIBM,Pune",73.89,18.48,160.0
154,Dealer,0,0,2,BHK,904.07,1,1,"Suraksha Nagar,Bangalore",79.11,20.1,50.7
155,Dealer,1,1,3,BHK,1570.31,0,1,"Tonk Road,Jaipur",75.78,26.17,110.0
156,Dealer,0,0,2,BHK,955.41,1,1,"Hiranandani Estate,Lalitpur",72.98,19.26,150.0
157,Dealer,0,0,2,BHK,1000.0,1,1,"Sector-53 Noida,Noida",77.36,28.59,60.0
158,Dealer,0,0,4,BHK,2494.75,1,1,"Kadugodi,Bangalore",77.77,13.0,95.0
159,Owner,0,0,2,BHK,1150.13,1,1,"Villivakkam Near ICF Bus Stand,Chennai",80.21,13.11,75.0
160,Dealer,0,0,2,BHK,1210.14,1,1,"Kamothe,Mumbai",73.1,19.02,85.0
161,Dealer,0,0,2,BHK,1365.0,1,1,"Sector-11 Ghansoli,Mumbai",73.0,19.13,200.0
162,Dealer,1,1,2,BHK,499.64,0,0,"Hiranandani Estate,Maharashtra",72.98,19.26,110.0
163,Dealer,0,0,2,BHK,1050.14,1,1,"Manjalpur,Vadodara",73.19,22.27,40.0
164,Owner,0,0,1,BHK,476.02,1,1,"Madanandapuram,Chennai",80.15,13.02,40.0
165,Dealer,0,0,2,BHK,985.45,1,1,"Hajipur,Noida",77.37,28.54,21.0
166,Dealer,0,0,2,BHK,1045.3,1,1,"Sector 77 Faridabad,Faridabad",77.37,28.37,24.0
167,Dealer,1,1,2,BHK,1301.89,0,1,"Sarjapur Road,Bangalore",77.79,12.86,90.0
168,Owner,0,0,2,BHK,2000.0,1,1,"Alwar Bypass Road,Bhiwadi",76.86,28.21,38.0
169,Dealer,0,0,2,BHK,1192.0,1,1,"Nayapalli,Bhubaneswar",85.81,20.29,59.6
170,Dealer,1,0,3,BHK,1846.15,0,0,"New Town,Kolkata",88.48,22.59,120.0
171,Dealer,1,0,1,BHK,448.53,0,1,"Kanjur Marg (East),Mumbai",73.04,19.22,120.0
172,Owner,0,0,2,BHK,750.06,1,1,"Gyan Khand 2,Ghaziabad",77.42,28.67,31.0
173,Dealer,0,0,2,BHK,1060.07,1,1,"Roadpali,Maharashtra",73.12,19.04,72.0
174,Dealer,0,1,3,BHK,1415.09,1,1,"Electronic City Phase II,Bangalore",77.67,12.85,79.5
175,Dealer,0,0,2,BHK,1160.06,1,1,"Sector-35G Kharghar,Maharashtra",72.82,18.96,89.0
176,Dealer,0,0,3,BHK,1690.02,1,1,"Goregaon (East),Lalitpur",72.87,19.16,410.0
177,Owner,1,0,3,BHK,1672.76,0,1,"Sector-143B Noida,Noida",77.43,28.5,68.6
178,Owner,0,0,2,BHK,1315.27,1,1,"RM Park,Valsad",72.91,20.61,33.0
179,Dealer,0,0,1,BHK,650.03,1,1,"Kalyan (West),Mumbai",73.12,19.25,50.0
180,Owner,0,0,1,BHK,540.18,1,1,"Saphale,Palghar",72.84,19.59,16.0
181,Dealer,0,0,3,BHK,1830.07,1,1,"Suraksha Nagar,Bangalore",79.11,20.1,98.0
182,Dealer,0,0,3,BHK,1575.16,1,1,"Judges Enclave,Ghaziabad",77.42,28.67,70.0
183,Dealer,0,0,3,BHK,1530.0,1,1,"Harlur Road,Bangalore",77.67,12.9,76.5
184,Owner,0,0,2,BHK,619.64,1,1,"Byagadadhenahalli,Bangalore",77.7,12.76,26.0
185,Owner,0,0,4,BHK,2200.0,1,1,"Citylight Area,Surat",72.83,21.17,110.0
186,Dealer,0,1,2,BHK,1087.89,1,1,"Manpada,Mumbai",72.96,19.24,140.0
187,Owner,0,0,2,BHK,1199.86,1,1,"Doddakallasandra,Bangalore",77.56,12.88,70.0
188,Owner,0,0,2,BHK,1265.04,1,1,"Bhuvaneshwari Nagar,Bangalore",77.6,13.03,61.0
189,Dealer,0,0,2,BHK,676.05,1,1,"Ganganagar,Kolkata",88.24,22.3,17.3
190,Owner,0,0,2,BHK,800.0,1,1,"Mohan Nagar,Ghaziabad",77.38,28.68,42.0
191,Owner,0,0,2,BHK,750.08,1,1,"Maheshtala,Kolkata",88.23,22.49,25.0
192,Dealer,0,1,2,BHK,1500.0,1,0,"Anna Nagar West,Chennai",80.19,13.09,150.0
193,Dealer,0,0,3,BHK,1814.29,1,1,"Khandagiri,Bhubaneswar",85.78,20.26,88.9
194,Dealer,0,1,3,BHK,1195.65,1,1,"Ghodbunder Road,Lalitpur",78.42,24.69,110.0
195,Dealer,0,0,3,BHK,1395.03,1,1,"Raj Nagar Extension,Ghaziabad",75.78,26.9,41.0
196,Owner,0,0,2,BHK,850.16,1,1,"Palghar,Palghar",72.77,19.7,24.0
197,Dealer,0,0,2,BHK,909.43,1,1,"Keelkattalai,Chennai",80.18,12.96,48.2
198,Owner,1,0,2,BHK,910.09,0,1,"Ramna,Varanasi",83.01,25.25,33.0
199,Dealer,0,0,3,BHK,1850.07,1,1,"Aga Abbas Ali Road,Bangalore",77.6,12.97,250.0
200,Dealer,0,1,3,BHK,2069.86,1,1,"Sector-107 Noida,Noida",77.38,28.55,160.0
201,Dealer,0,1,2,BHK,820.01,1,1,"Thane West,Mumbai",72.96,19.18,140.0
202,Dealer,0,0,2,BHK,1241.81,1,1,"Sargasan,Gandhinagar",72.61,23.18,36.0
203,Dealer,0,1,3,BHK,1014.12,1,0,"Kharadi,Maharashtra",73.94,18.54,79.0
204,Dealer,0,0,4,BHK,2302.16,1,1,"Sector-70 Mohali,Mohali",76.71,30.7,160.0
205,Dealer,0,0,2,BHK,900.08,1,1,"Sector 35I Kharghar,Lalitpur",78.42,24.69,69.0
206,Builder,1,0,2,BHK,898.51,0,0,"Jalukbari,Guwahati",91.67,26.15,30.1
207,Dealer,0,0,3,BHK,2235.29,1,1,"C-Scheme,Jaipur",75.87,26.92,190.0
208,Dealer,0,0,3,BHK,1350.0,1,1,"Sector-50 Noida,Noida",77.37,28.57,81.0
209,Dealer,0,1,2,BHK,1100.11,1,1,"Warje,Pune",73.8,18.49,70.0
210,Dealer,0,1,1,BHK,612.12,1,1,"Mambakkam,Chennai",80.17,12.84,30.0
211,Owner,0,0,2,BHK,1100.35,1,1,"Sai Nagar,Amravati",77.74,20.89,25.0
212,Dealer,0,0,3,BHK,1475.26,1,1,"Sector-137 Noida,Noida",77.41,28.51,79.0
213,Builder,1,0,1,BHK,300.03,0,0,"Kachimet,Lalitpur",78.42,24.69,11.5
214,Owner,0,0,2,BHK,1000.0,1,1,"Venkojipalem,Visakhapatnam",83.25,17.7,50.0
215,Dealer,0,0,2,BHK,1532.72,1,1,"Goregaon (East),Mumbai",72.87,19.16,230.0
216,Dealer,1,1,2,BHK,995.83,0,0,"Sevasi,Vadodara",73.12,22.31,21.5
217,Dealer,0,0,3,BHK,1646.71,1,0,"Sector-90 Gurgaon,Gurgaon",76.94,28.41,110.0
218,Dealer,0,0,4,BHK,2350.97,1,1,"Sunny Enclave,Mohali",76.82,30.66,56.0
219,Owner,0,0,3,BHK,534.06,1,1,"Sector 55 Faridabad,Faridabad",77.3,28.35,45.0
220,Dealer,1,1,2,BHK,1100.0,0,1,"Majiwada,Mumbai",72.99,19.22,110.0
221,Dealer,0,0,3,BHK,1968.89,1,1,"GS Road,Guwahati",91.77,26.17,88.6
222,Dealer,0,1,3,BHK,2196.35,1,1,"Sector-110 Noida,Noida",77.38,28.54,100.0
223,Dealer,0,1,4,BHK,2400.0,1,1,"Laxmi Nagar,Mumbai",70.79,22.28,300.0
224,Dealer,0,0,2,BHK,1650.25,1,1,"Hadapsar,Pune",73.94,18.5,62.0
225,Dealer,1,1,2,BHK,632.06,0,0,"Vasai East,Mumbai",72.85,19.4,45.9
226,Owner,0,0,2,BHK,1034.97,1,1,"Chinhat,Lucknow",81.03,26.88,37.0
227,Dealer,0,0,2,BHK,965.04,1,1,"kavesar,Maharashtra",72.82,18.96,90.0
228,Builder,1,1,2,BHK,600.55,0,0,"Sus,Lalitpur",78.42,24.69,45.9
229,Dealer,0,0,2,BHK,984.85,1,1,"Hiranandani Estate,Mumbai",72.98,19.26,130.0
230,Dealer,0,0,3,BHK,1700.06,1,1,"Chembur,Mumbai",72.9,19.06,420.0
231,Dealer,0,1,1,BHK,546.01,1,0,"Thane West,Mumbai",72.96,19.18,58.5
232,Dealer,0,0,2,BHK,1195.5,1,1,"Karamsad,Anand",72.9,22.55,17.0
233,Dealer,1,1,3,BHK,1677.47,0,1,"Thakur Village,Mumbai",72.82,18.91,220.0
234,Dealer,0,1,3,BHK,1699.72,1,1,"Crossing Republik,Ghaziabad",77.43,28.63,48.0
235,Dealer,0,0,2,BHK,1075.03,1,1,"sector-121 Noida,Noida",77.4,28.6,48.0
236,Dealer,1,1,1,BHK,485.79,0,0,"Balkum,Mumbai",72.99,19.22,64.1
237,Owner,0,0,2,BHK,929.9,1,1,"Rajarajeshwari Nagar,Bangalore",77.52,12.92,52.0
238,Dealer,0,0,3,BHK,1438.02,1,1,"Hiranandani Gardens - Powai,Lalitpur",72.89,19.12,600.0
239,Dealer,0,1,2,BHK,1020.18,1,1,"Thanisandra,Bangalore",77.62,13.06,46.0
240,Owner,0,0,2,BHK,1070.14,1,1,"Vaishali,Ghaziabad",77.34,28.64,65.0
241,Owner,0,0,2,BHK,2400.38,1,1,"Tiruchanur,Tirupati",79.46,13.6,50.0
242,Owner,0,0,3,BHK,1767.39,1,1,"Kompally,Secunderabad",78.48,17.55,77.5
243,Builder,1,1,1,BHK,524.0,0,0,"Tathawade,Pune",73.74,18.62,26.2
244,Dealer,1,1,2,BHK,923.79,0,1,"Sector-63A Gurgaon,Gurgaon",76.84,28.36,120.0
245,Dealer,0,0,3,BHK,1657.28,1,1,"Banashankari Stage VI,Bangalore",77.55,12.92,100.0
246,Dealer,0,0,2,BHK,680.0,1,1,"Mulund (West),Lalitpur",72.95,19.18,170.0
247,Owner,0,0,2,BHK,1100.48,1,1,"Gorwa,Vadodara",73.16,22.33,23.0
248,Dealer,0,1,3,BHK,1701.69,1,0,"Bhatagaon,Raipur",81.09,21.15,50.2
249,Owner,0,0,1,BHK,451.03,1,1,"Shalimar Garden Extension II,Ghaziabad",77.34,28.69,14.0
250,Owner,0,0,2,BHK,1000.0,1,1,"Cantonment,Vizianagaram",83.42,18.12,30.0
251,Dealer,0,0,3,BHK,1790.19,1,1,"Sector-81 Gurgaon,Gurgaon",76.95,28.39,100.0
252,Owner,0,0,2,BHK,1100.35,1,1,"Patuli GhoshPara,Kolkata",88.44,22.6,25.0
253,Dealer,0,1,2,BHK,1232.16,1,1,"Sector 80 Faridabad,Faridabad",77.35,28.38,44.9
254,Dealer,0,0,1,BHK,497.99,1,1,"Dharapur,Guwahati",91.63,26.14,26.0
255,Owner,0,0,3,BHK,1726.02,1,1,"Kadugodi,Bangalore",77.77,13.0,95.0
256,Dealer,1,1,3,BHK,1320.05,0,1,"Kharadi,Pune",73.94,18.54,110.0
257,Owner,0,0,2,BHK,990.1,1,1,"New Shanti Nagar,Raipur",81.66,21.25,25.0
258,Dealer,0,0,1,BHK,675.04,1,1,"Sector-35G Kharghar,Lalitpur",78.42,24.69,65.0
259,Owner,0,0,2,BHK,674.04,1,1,"Punkunnam,Thrissur",76.21,10.53,25.0
260,Dealer,0,0,1,BHK,775.11,1,1,"Sector-99 Noida,Noida",77.36,28.54,36.5
261,Dealer,0,0,2,BHK,718.1,1,1,"Powai,Lalitpur",72.91,19.12,180.0
